Cust_ID,Name,DOB,Salary,Balance,Loan,Attendant
1,James Johnson,12/7/1947,33617.72,4600.55,42340.93,John
2,Amanda Hampton,7/4/1969,67194.82,4192.82,15371.44,Currie
3,Jennifer Hanna,4/16/1994,67844.46,1075.77,33087.93,Ivy
4,Jerry Solomon,6/11/1955,74620.09,4990.62,2966.31,Marvel
5,Jennifer Hubbard DDS,9/25/1972,80826.39,1663.63,30869.48,John
6,Michael Patrick,8/21/1993,98309.65,3758.92,36146.31,Currie
7,Kristen Johnson,12/23/1981,66141.02,4586.16,19068.76,Marvel
8,Gabrielle Burke,4/24/1976,52606.95,1560.59,11555.12,Ivy
9,Todd Walker,11/8/1973,85663.03,4587.16,27343.9,Ivy
10,Michael Lee,2/2/1969,48958.26,1892.67,41826.35,Ivy
11,Karen Jones,3/26/1976,60728,4893.86,16853.82,Currie
12,Adam Hill,10/30/1944,35491.95,1765.67,13371,Marvel
13,Ebony Stewart DDS,11/18/1981,31774.55,4790.46,14667.83,Ivy
14,Danielle Irwin,5/4/2001,97385.39,740.95,47507.48,Marvel
15,Christine Barber,9/21/1963,88518.61,3691.72,18604.57,Ivy
16,Mary Castro,8/20/1981,78718.19,2894.5,1176.61,Currie
17,Courtney Hansen,12/7/1943,58626.71,2650.45,39302.38,John
18,Stephanie Knapp,11/21/1945,42130.6,1505.72,35264.46,John
19,Kyle Hernandez,2/19/1982,40950.59,3675.18,7299.84,Ivy
20,Jason Clarke,12/12/1998,47517,1358.64,49260.31,John
21,Christopher Williams,3/19/1996,68445.87,2987.79,30795.05,Marvel
22,Angela Kennedy,10/16/1972,80021.71,1639.6,25538.2,Currie
23,Brandon Coleman,12/29/1960,76213.82,4800.3,19728.74,Marvel
24,Philip Brown,7/1/1965,49595.37,628.84,45034.97,Ivy
25,William Gomez,10/14/1979,96840.57,1398.78,12954.21,Ivy
26,David Butler,6/21/1948,81652.78,1590.4,15002.68,Ivy
27,Christopher Barton,12/16/2000,68804.78,2363.31,6998.13,John
28,Natalie Haynes,10/22/1998,72820.45,1547.29,38196.84,Currie
29,Jennifer Grant,6/20/1961,59372,2711.07,30181.91,Currie
